name,image,bkg,rms,psf
XG_20201014_072-080MHz,XG_20201014_072-080MHz_ddmod.fits,XG_20201014_072-080MHz_ddmod_bkg.fits,XG_20201014_072-080MHz_ddmod_rms.fits,XG_20201014_072-080MHz_projpsf_psf.fits
XG_20201014_072-103MHz,XG_20201014_072-103MHz_ddmod.fits,XG_20201014_072-103MHz_ddmod_bkg.fits,XG_20201014_072-103MHz_ddmod_rms.fits,XG_20201014_072-103MHz_projpsf_psf.fits
XG_20201014_080-088MHz,XG_20201014_080-088MHz_ddmod.fits,XG_20201014_080-088MHz_ddmod_bkg.fits,XG_20201014_080-088MHz_ddmod_rms.fits,XG_20201014_080-088MHz_projpsf_psf.fits
XG_20201014_088-095MHz,XG_20201014_088-095MHz_ddmod.fits,XG_20201014_088-095MHz_ddmod_bkg.fits,XG_20201014_088-095MHz_ddmod_rms.fits,XG_20201014_088-095MHz_projpsf_psf.fits
XG_20201014_095-103MHz,XG_20201014_095-103MHz_ddmod.fits,XG_20201014_095-103MHz_ddmod_bkg.fits,XG_20201014_095-103MHz_ddmod_rms.fits,XG_20201014_095-103MHz_projpsf_psf.fits
XG_20201014_103-111MHz,XG_20201014_103-111MHz_ddmod.fits,XG_20201014_103-111MHz_ddmod_bkg.fits,XG_20201014_103-111MHz_ddmod_rms.fits,XG_20201014_103-111MHz_projpsf_psf.fits
XG_20201014_103-134MHz,XG_20201014_103-134MHz_ddmod.fits,XG_20201014_103-134MHz_ddmod_bkg.fits,XG_20201014_103-134MHz_ddmod_rms.fits,XG_20201014_103-134MHz_projpsf_psf.fits
XG_20201014_111-118MHz,XG_20201014_111-118MHz_ddmod.fits,XG_20201014_111-118MHz_ddmod_bkg.fits,XG_20201014_111-118MHz_ddmod_rms.fits,XG_20201014_111-118MHz_projpsf_psf.fits
XG_20201014_118-126MHz,XG_20201014_118-126MHz_ddmod.fits,XG_20201014_118-126MHz_ddmod_bkg.fits,XG_20201014_118-126MHz_ddmod_rms.fits,XG_20201014_118-126MHz_projpsf_psf.fits
XG_20201014_126-134MHz,XG_20201014_126-134MHz_ddmod.fits,XG_20201014_126-134MHz_ddmod_bkg.fits,XG_20201014_126-134MHz_ddmod_rms.fits,XG_20201014_126-134MHz_projpsf_psf.fits
XG_20201014_139-147MHz,XG_20201014_139-147MHz_ddmod.fits,XG_20201014_139-147MHz_ddmod_bkg.fits,XG_20201014_139-147MHz_ddmod_rms.fits,XG_20201014_139-147MHz_projpsf_psf.fits
XG_20201014_139-170MHz,XG_20201014_139-170MHz_ddmod.fits,XG_20201014_139-170MHz_ddmod_bkg.fits,XG_20201014_139-170MHz_ddmod_rms.fits,XG_20201014_139-170MHz_projpsf_psf.fits
