#catalogue,prefix,suffix
XG_20201014_072-080MHz_comp.fits,,_N_072_080MHz
XG_20201014_072-103MHz_comp.fits,,_W_072_103MHz
XG_20201014_080-088MHz_comp.fits,,_N_080_088MHz
XG_20201014_088-095MHz_comp.fits,,_N_088_095MHz
XG_20201014_095-103MHz_comp.fits,,_N_095_103MHz
XG_20201014_103-111MHz_comp.fits,,_N_103_111MHz
XG_20201014_103-134MHz_comp.fits,,_W_103_134MHz
XG_20201014_111-118MHz_comp.fits,,_N_111_118MHz
XG_20201014_118-126MHz_comp.fits,,_N_118_126MHz
XG_20201014_126-134MHz_comp.fits,,_N_126_134MHz
XG_20201014_139-147MHz_comp.fits,,_N_139_147MHz
XG_20201014_139-170MHz_comp.fits,,_W_139_170MHz
XG_20201014_147-154MHz_comp.fits,,_N_147_154MHz
XG_20201014_154-162MHz_comp.fits,,_N_154_162MHz
XG_20201014_162-170MHz_comp.fits,,_N_162_170MHz
XG_20201014_170-177MHz_comp.fits,,_N_170_177MHz
XG_20201014_170-200MHz_comp.fits,,_W_170_200MHz
XG_20201014_177-185MHz_comp.fits,,_N_177_185MHz
XG_20201014_185-193MHz_comp.fits,,_N_185_193MHz
XG_20201014_193-200MHz_comp.fits,,_N_193_200MHz
XG_20201014_200-208MHz_comp.fits,,_N_200_208MHz
XG_20201014_200-231MHz_comp.fits,,_W_200_231MHz
XG_20201014_208-216MHz_comp.fits,,_N_208_216MHz
XG_20201014_216-223MHz_comp.fits,,_N_216_223MHz
XG_20201014_223-231MHz_comp.fits,,_N_223_231MHz
